rank,model,embedding_model,chunk_size,chunk_overlap,chunk_strategy,source,top_k,doc_prefix,query_prefix,path_at_k,anchor_at_k,mrr_path,mrr_anchor,best_ov,lat_ms,ERS,combo_name,run_source
1,BGE,BAAI/bge-base-en-v1.5,2000,200,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.739726,0.698630,0.554110,0.513014,0.697950,27.182767,0.657671760000,BAAI_bge-base-en-v1.5_word_chunk2000_overlap200_both,benchmarking\results\bge_instruction_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap200_both_summary.json
2,e5-small-v2,intfloat/e5-small-v2,1000,200,word,both,5,passage: ,query: ,0.712329,0.698630,0.564840,0.537443,0.697578,38.733301,0.656744100000,intfloat_e5-small-v2_word_chunk1000_overlap200_both,benchmarking\matrix_runs\aurora_full_e5_small_v2_offline\combo_results.jsonl
3,e5-small-v2,intfloat/e5-small-v2,2000,0,word,both,5,passage: ,query: ,0.712329,0.698630,0.564840,0.535160,0.697958,44.328466,0.656371160000,intfloat_e5-small-v2_word_chunk2000_overlap0_both,benchmarking\matrix_runs\aurora_full_e5_small_v2_offline\combo_results.jsonl
4,e5-small-v2,intfloat/e5-small-v2,1000,100,word,both,5,passage: ,query: ,0.712329,0.698630,0.539726,0.519178,0.687113,42.397219,0.649396220000,intfloat_e5-small-v2_word_chunk1000_overlap100_both,benchmarking\matrix_runs\aurora_full_e5_small_v2_offline\combo_results.jsonl
5,BGE,BAAI/bge-base-en-v1.5,2000,0,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.726027,0.684932,0.552968,0.511872,0.684251,26.994329,0.647740220000,BAAI_bge-base-en-v1.5_word_chunk2000_overlap0_both,benchmarking\results\bge_instruction_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap0_both_summary.json
6,BGE,BAAI/bge-base-en-v1.5,1000,200,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.726027,0.684932,0.548858,0.493379,0.684251,27.658616,0.643918280000,BAAI_bge-base-en-v1.5_word_chunk1000_overlap200_both,benchmarking\results\bge_instruction_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap200_both_summary.json
7,e5-small-v2,intfloat/e5-small-v2,2000,200,word,both,5,passage: ,query: ,0.698630,0.684932,0.546575,0.526027,0.684328,38.723041,0.642953380000,intfloat_e5-small-v2_word_chunk2000_overlap200_both,benchmarking\matrix_runs\aurora_full_e5_small_v2_offline\combo_results.jsonl
8,e5-small-v2,intfloat/e5-small-v2,2000,100,word,both,5,passage: ,query: ,0.698630,0.684932,0.544292,0.523744,0.684328,43.232151,0.642268480000,intfloat_e5-small-v2_word_chunk2000_overlap100_both,benchmarking\matrix_runs\aurora_full_e5_small_v2_offline\combo_results.jsonl
9,BGE,BAAI/bge-base-en-v1.5,1000,0,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.726027,0.684932,0.544064,0.489269,0.670718,27.371548,0.641249900000,BAAI_bge-base-en-v1.5_word_chunk1000_overlap0_both,benchmarking\results\bge_instruction_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap0_both_summary.json
10,e5-small-v2,intfloat/e5-small-v2,1000,0,word,both,5,passage: ,query: ,0.698630,0.684932,0.551142,0.514612,0.670342,37.104260,0.640048120000,intfloat_e5-small-v2_word_chunk1000_overlap0_both,benchmarking\matrix_runs\aurora_full_e5_small_v2_offline\combo_results.jsonl
11,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,0,word,both,5,passage: ,passage: ,0.684932,0.671233,0.554795,0.541096,0.670554,36.062411,0.637055640000,all-MiniLM-L6-v2_word_chunk2000_overlap0_both,benchmarking\matrix_runs\aurora_full_allMiniLM_offline\combo_results.jsonl
12,BGE,BAAI/bge-base-en-v1.5,2000,100,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.698630,0.671233,0.535388,0.506849,0.670610,27.127493,0.631855460000,BAAI_bge-base-en-v1.5_word_chunk2000_overlap100_both,benchmarking\results\bge_instruction_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap100_both_summary.json
13,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,0,word,both,5,passage: ,passage: ,0.684932,0.671233,0.525571,0.498174,0.656637,35.291110,0.624431100000,all-MiniLM-L6-v2_word_chunk1000_overlap0_both,benchmarking\matrix_runs\aurora_full_allMiniLM_offline\combo_results.jsonl
14,BGE,BAAI/bge-base-en-v1.5,1000,100,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.698630,0.657534,0.532420,0.491324,0.643127,28.586384,0.621024860000,BAAI_bge-base-en-v1.5_word_chunk1000_overlap100_both,benchmarking\results\bge_instruction_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap100_both_summary.json
15,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,200,word,both,5,passage: ,passage: ,0.684932,0.643836,0.544521,0.507991,0.642778,57.153288,0.617223340000,all-MiniLM-L6-v2_word_chunk1000_overlap200_both,benchmarking\matrix_runs\aurora_full_allMiniLM_offline\combo_results.jsonl
16,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,200,word,both,5,passage: ,passage: ,0.671233,0.657534,0.514155,0.500457,0.656925,36.740151,0.615281520000,all-MiniLM-L6-v2_word_chunk2000_overlap200_both,benchmarking\matrix_runs\aurora_full_allMiniLM_offline\combo_results.jsonl
17,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,100,word,both,5,passage: ,passage: ,0.657534,0.643836,0.527397,0.513699,0.643226,36.397014,0.609665180000,all-MiniLM-L6-v2_word_chunk2000_overlap100_both,benchmarking\matrix_runs\aurora_full_allMiniLM_offline\combo_results.jsonl
