rank,model,embedding_model,chunk_size,chunk_overlap,chunk_strategy,source,top_k,doc_prefix,query_prefix,path_at_k,anchor_at_k,mrr_path,mrr_anchor,best_ov,lat_ms,ERS,combo_name,run_source
1,e5-small-v2,intfloat/e5-small-v2,2000,0,word,both,5,passage: ,query: ,0.7530120481927711,0.7168674698795181,0.5768072289156626,0.5406626506024097,0.7024264216867471,25.508265060240962,0.6755739674698796,intfloat_e5-small-v2_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\intfloat_e5-small-v2_word_chunk2000_overlap0_both\retrieval_eval_summary.json
2,e5-small-v2,intfloat/e5-small-v2,2000,200,word,both,5,passage: ,query: ,0.7409638554216867,0.7048192771084337,0.5603413654618474,0.5141566265060242,0.7048192771084337,15.777692771084338,0.6618373493975904,intfloat_e5-small-v2_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\intfloat_e5-small-v2_word_chunk2000_overlap200_both\retrieval_eval_summary.json
3,e5-small-v2,intfloat/e5-small-v2,2000,100,word,both,5,passage: ,query: ,0.7409638554216867,0.6927710843373494,0.5661646586345384,0.5164658634538154,0.6933187289156626,19.41801204819277,0.6574644030120482,intfloat_e5-small-v2_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\intfloat_e5-small-v2_word_chunk2000_overlap100_both\retrieval_eval_summary.json
4,e5-small-v2,intfloat/e5-small-v2,1000,0,word,both,5,passage: ,query: ,0.7048192771084337,0.6566265060240963,0.5524096385542169,0.4926706827309238,0.6427796024096386,16.956638554216866,0.6247900084337349,intfloat_e5-small-v2_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\intfloat_e5-small-v2_word_chunk1000_overlap0_both\retrieval_eval_summary.json
5,e5-small-v2,intfloat/e5-small-v2,1000,100,word,both,5,passage: ,query: ,0.6987951807228916,0.6385542168674698,0.5411646586345382,0.47439759036144585,0.6328365722891567,15.607759036144579,0.6112053439759036,intfloat_e5-small-v2_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\intfloat_e5-small-v2_word_chunk1000_overlap100_both\retrieval_eval_summary.json
6,e5-small-v2,intfloat/e5-small-v2,1000,200,word,both,5,passage: ,query: ,0.6987951807228916,0.6204819277108434,0.5461847389558234,0.4708835341365463,0.6125132951807228,17.715289156626508,0.6026368716867471,intfloat_e5-small-v2_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\intfloat_e5-small-v2_word_chunk1000_overlap200_both\retrieval_eval_summary.json
7,BGE,BAAI/bge-base-en-v1.5,2000,200,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.6807228915662651,0.6445783132530121,0.4832329317269079,0.43775100401606454,0.6445783132530121,24.30960843373494,0.5966626506024097,BAAI_bge-base-en-v1.5_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap200_both\retrieval_eval_summary.json
8,BGE,BAAI/bge-base-en-v1.5,2000,100,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.6927710843373494,0.6265060240963856,0.4887550200803214,0.434538152610442,0.6265060240963856,24.376572289156627,0.5913253012048193,BAAI_bge-base-en-v1.5_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap100_both\retrieval_eval_summary.json
9,BGE,BAAI/bge-base-en-v1.5,2000,0,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.6566265060240963,0.6144578313253012,0.4896586345381528,0.4520080321285143,0.6044569578313252,24.750186746987954,0.5793613584337349,BAAI_bge-base-en-v1.5_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\BAAI_bge-base-en-v1.5_word_chunk2000_overlap0_both\retrieval_eval_summary.json
10,BGE,BAAI/bge-base-en-v1.5,1000,100,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.6746987951807228,0.6144578313253012,0.4839357429718877,0.4183734939759039,0.6149933072289157,24.74480120481928,0.5780113789156627,BAAI_bge-base-en-v1.5_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap100_both\retrieval_eval_summary.json
