rank,model,embedding_model,chunk_size,chunk_overlap,chunk_strategy,source,top_k,doc_prefix,query_prefix,path_at_k,anchor_at_k,mrr_path,mrr_anchor,best_ov,lat_ms,ERS,combo_name,run_source
11,BGE,BAAI/bge-base-en-v1.5,1000,0,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.6746987951807228,0.6024096385542169,0.4852409638554218,0.41295180722891583,0.5901466566265061,25.992216867469878,0.5703700873493975,BAAI_bge-base-en-v1.5_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap0_both\retrieval_eval_summary.json
12,BGE,BAAI/bge-base-en-v1.5,1000,200,word,both,5,passage: ,Represent this sentence for searching relevant passages: ,0.6626506024096386,0.5963855421686747,0.4758032128514058,0.4035140562248998,0.5898705903614458,24.279975903614456,0.5624509144578314,BAAI_bge-base-en-v1.5_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\BAAI_bge-base-en-v1.5_word_chunk1000_overlap200_both\retrieval_eval_summary.json
13,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,200,word,both,5,passage: ,passage: ,0.6385542168674698,0.5843373493975904,0.4579317269076306,0.4057228915662652,0.5843373493975904,10.05539156626506,0.5500301204819277,all-MiniLM-L6-v2_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\all-MiniLM-L6-v2_word_chunk2000_overlap200_both\retrieval_eval_summary.json
14,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,100,word,both,5,passage: ,passage: ,0.6325301204819277,0.5843373493975904,0.45582329317269094,0.40983935742971905,0.5848849939759035,10.131951807228916,0.5491270536144579,all-MiniLM-L6-v2_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\all-MiniLM-L6-v2_word_chunk2000_overlap100_both\retrieval_eval_summary.json
15,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,2000,0,word,both,5,passage: ,passage: ,0.6325301204819277,0.5783132530120482,0.4546184738955825,0.4114457831325303,0.5723650602409638,9.957132530120482,0.5458509638554218,all-MiniLM-L6-v2_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\all-MiniLM-L6-v2_word_chunk2000_overlap0_both\retrieval_eval_summary.json
16,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,100,word,both,5,passage: ,passage: ,0.6144578313253012,0.5240963855421686,0.45351405622489976,0.37520080321285143,0.5251673373493976,10.01793373493976,0.5106191433734939,all-MiniLM-L6-v2_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\all-MiniLM-L6-v2_word_chunk1000_overlap100_both\retrieval_eval_summary.json
17,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,200,word,both,5,passage: ,passage: ,0.608433734939759,0.5180722891566265,0.46074297188755037,0.3769076305220884,0.5126883915662651,10.061987951807229,0.5069314897590361,all-MiniLM-L6-v2_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\all-MiniLM-L6-v2_word_chunk1000_overlap200_both\retrieval_eval_summary.json
18,allMiniLM,sentence-transformers/all-MiniLM-L6-v2,1000,0,word,both,5,passage: ,passage: ,0.608433734939759,0.5120481927710844,0.4457831325301206,0.37700803212851414,0.5070057349397591,10.89844578313253,0.5024174409638554,all-MiniLM-L6-v2_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\all-MiniLM-L6-v2_word_chunk1000_overlap0_both\retrieval_eval_summary.json
19,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,2000,0,word,both,5,passage: ,passage: ,0.572289156626506,0.5180722891566265,0.44698795180722894,0.394277108433735,0.5152919397590362,23.428963855421685,0.4999930493975904,multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap0_both\retrieval_eval_summary.json
20,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,2000,200,word,both,5,passage: ,passage: ,0.5542168674698795,0.5060240963855421,0.44116465863453813,0.3959839357429719,0.5060240963855421,23.532578313253012,0.49,multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap200_both\retrieval_eval_summary.json
21,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,2000,100,word,both,5,passage: ,passage: ,0.5602409638554217,0.5,0.42500000000000004,0.37158634538152613,0.5,23.46529518072289,0.4823433734939759,multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\multi-qa-mpnet-base-dot-v1_word_chunk2000_overlap100_both\retrieval_eval_summary.json
22,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,1000,100,word,both,5,passage: ,passage: ,0.5481927710843374,0.4939759036144578,0.43805220883534135,0.37349397590361444,0.4935230361445783,24.505030120481926,0.47854507469879515,multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap100_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap100_both\retrieval_eval_summary.json
23,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,1000,200,word,both,5,passage: ,passage: ,0.536144578313253,0.4819277108433735,0.43273092369477917,0.37218875502008036,0.4830587650602409,23.700222891566266,0.4693962379518072,multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap200_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap200_both\retrieval_eval_summary.json
24,MPNet,sentence-transformers/multi-qa-mpnet-base-dot-v1,1000,0,word,both,5,passage: ,passage: ,0.5421686746987951,0.46987951807228917,0.4176706827309237,0.35441767068273095,0.4655152469879518,25.487530120481928,0.45974429578313253,multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap0_both,G:\LLM_for_DUNE\dune_gpt\benchmarking\matrix_runs\local_embedding_24combo_paired_qa_v2_eval\multi-qa-mpnet-base-dot-v1_word_chunk1000_overlap0_both\retrieval_eval_summary.json
